order,AIC,BIC,MAE,RMSE,MAPE (%),R2,Warning
"(2, 0, 2)",870.2568850702552,881.729023102824,991.7891097332208,1340.8440748522846,109.78352848281729,0.07657161300859172,"A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; Maximum Likelihood optimization failed to converge. Check mle_retvals; No supported index is available. Prediction results will be given with an integer index beginning at `start`.; No supported index is available. In the next version, calling this method in a model without a supported index will result in an exception."
"(2, 0, 3)",871.476696409383,884.86085744738,1005.1355827699917,1342.8432458018922,109.23526907991217,0.07381593472804793,"A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; No supported index is available. Prediction results will be given with an integer index beginning at `start`.; No supported index is available. In the next version, calling this method in a model without a supported index will result in an exception."
"(0, 0, 1)",870.7612120055427,876.4972810218271,993.937597544769,1395.738246075906,114.90350415732098,-0.0005864677121361073,"A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; No supported index is available. Prediction results will be given with an integer index beginning at `start`.; No supported index is available. In the next version, calling this method in a model without a supported index will result in an exception."
"(1, 0, 1)",872.7458084936195,880.3939005153321,994.1625085793714,1395.7633684595155,114.90910021959455,-0.0006224878518330534,"A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; No supported index is available. Prediction results will be given with an integer index beginning at `start`.; No supported index is available. In the next version, calling this method in a model without a supported index will result in an exception."
"(0, 0, 2)",872.8942204002768,880.5423124219894,994.2682858238204,1395.7773732543199,114.91174868029861,-0.0006425680219250829,"A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; No supported index is available. Prediction results will be given with an integer index beginning at `start`.; No supported index is available. In the next version, calling this method in a model without a supported index will result in an exception."
"(2, 0, 1)",874.6196208472493,884.17973587439,995.3830425461339,1396.1177339567193,114.9450193467352,-0.001130641462606219,"A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; Non-stationary starting autoregressive parameters found. Using zeros as starting parameters.; Non-invertible starting MA parameters found. Using zeros as starting parameters.; No supported index is available. Prediction results will be given with an integer index beginning at `start`.; No supported index is available. In the next version, calling this method in a model without a supported index will result in an exception."
"(2, 0, 0)",872.8146997132457,880.4627917349583,996.4445921796845,1396.126232328282,114.96253597000832,-0.0011428295551452194,"A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; No supported index is available. Prediction results will be given with an integer index beginning at `start`.; No supported index is available. In the next version, calling this method in a model without a supported index will result in an exception."
"(3, 0, 0)",873.7978683249869,883.3579833521276,991.8110457777127,1396.2625188540126,114.8134417002326,-0.0013382974640294698,"A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; No supported index is available. Prediction results will be given with an integer index beginning at `start`.; No supported index is available. In the next version, calling this method in a model without a supported index will result in an exception."
"(1, 0, 0)",871.5407701793752,877.2768391956596,1002.7698101179706,1396.33361422628,115.14971576278563,-0.0014402730316807055,"A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; No supported index is available. Prediction results will be given with an integer index beginning at `start`.; No supported index is available. In the next version, calling this method in a model without a supported index will result in an exception."
"(0, 0, 0)",874.2744545963001,878.0985006071563,1008.3422779339422,1397.4023294000388,115.32151181791485,-0.0029738091094140273,"A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; A date index has been provided, but it has no associated frequency information and so will be ignored when e.g. forecasting.; No supported index is available. Prediction results will be given with an integer index beginning at `start`.; No supported index is available. In the next version, calling this method in a model without a supported index will result in an exception."
