ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-10-24 08:30:00,7025.339328,2261.673250089581,5527.340916725535,7025.339328,7025.339328,-3119.9683950391627,-3119.9683950391627,-3119.9683950391627,-3119.9683950391627,-3119.9683950391627,-3119.9683950391627,0.0,0.0,0.0,3905.3709329608373
2018-10-24 08:35:00,7024.650808916447,2295.839559085862,5604.2039284045195,7024.650808916447,7024.650808916447,-3072.6850830438016,-3072.6850830438016,-3072.6850830438016,-3072.6850830438016,-3072.6850830438016,-3072.6850830438016,0.0,0.0,0.0,3951.9657258726456
2018-10-24 08:40:00,7023.962289832895,2398.2626916243366,5626.012725668868,7023.962289832895,7023.962289832895,-2991.633044545776,-2991.633044545776,-2991.633044545776,-2991.633044545776,-2991.633044545776,-2991.633044545776,0.0,0.0,0.0,4032.329245287119
2018-10-24 09:00:00,7021.2082134986085,2991.3292160008036,6093.635275183985,7021.2082134986085,7021.2082134986085,-2477.118916921451,-2477.118916921451,-2477.118916921451,-2477.118916921451,-2477.118916921451,-2477.118916921451,0.0,0.0,0.0,4544.089296577158
2018-10-24 09:05:00,7020.519694414551,3120.0606901854494,6260.531556572515,7020.519694414551,7020.519694414551,-2335.9539414995916,-2335.9539414995916,-2335.9539414995916,-2335.9539414995916,-2335.9539414995916,-2335.9539414995916,0.0,0.0,0.0,4684.565752914959
2018-10-24 09:10:00,7019.831175330495,3291.8742733610775,6428.893392034568,7019.831175330495,7019.831175330495,-2202.673650987263,-2202.673650987263,-2202.673650987263,-2202.673650987263,-2202.673650987263,-2202.673650987263,0.0,0.0,0.0,4817.157524343233
2018-10-24 09:30:00,7017.077098996524,3521.688271654202,6679.92104717953,7017.077098996524,7017.077098996524,-1854.5980735249236,-1854.5980735249236,-1854.5980735249236,-1854.5980735249236,-1854.5980735249236,-1854.5980735249236,0.0,0.0,0.0,5162.479025471601
2018-10-24 09:35:00,7016.388579912446,3568.2901143749327,6732.029365552135,7016.388579912446,7016.388579912446,-1835.400686205271,-1835.400686205271,-1835.400686205271,-1835.400686205271,-1835.400686205271,-1835.400686205271,0.0,0.0,0.0,5180.987893707175
2018-10-24 09:40:00,7015.700060828371,3518.1697472754818,6861.558252374082,7015.700060828371,7015.700060828371,-1849.7352163467533,-1849.7352163467533,-1849.7352163467533,-1849.7352163467533,-1849.7352163467533,-1849.7352163467533,0.0,0.0,0.0,5165.964844481618
2018-10-24 10:00:00,7012.945984494241,3034.809370724219,6485.421497494261,7012.945984494241,7012.945984494241,-2271.746946869443,-2271.746946869443,-2271.746946869443,-2271.746946869443,-2271.746946869443,-2271.746946869443,0.0,0.0,0.0,4741.199037624798
