grid_id,lat,lon,total_vehicles,avg_speed,total_pce_volume,total_crawling,cluster
37.9753_23.7351,37.97534733555767,23.735109154909438,1,0.18734532888465205,1049.0,2086,2
37.9754_23.735,37.9754385890411,23.735012171232874,1,5.5739102739726025,73.0,72,2
37.9754_23.7351,37.97538672820513,23.735081435897435,1,5.263291794871795,97.5,91,2
37.9754_23.7352,37.975440514285715,23.735171314285715,3,12.60462,17.5,0,2
37.9755_23.7347,37.975532482758624,23.734727689655173,1,16.744441379310345,14.5,0,2
37.9755_23.7348,37.975496666666665,23.73480107936508,1,13.64411111111111,31.5,0,2
37.9755_23.7349,37.97546787912088,23.734901967032968,1,9.46511978021978,45.5,0,2
37.9755_23.735,37.975451,23.73495,1,9.1124,0.5,0,2
37.9755_23.7352,37.975510032183905,23.73517610167189,4,18.387871870428423,97.0,0,2
37.9755_23.7355,37.97550440707965,23.7355459380531,14,37.748447787610615,80.5,0,2
37.9755_23.7356,37.97553261101466,23.73560130202064,119,21.75200783757716,2181.5,1695,2
37.9755_23.7357,37.975546,23.73566327777778,10,34.66625,11.5,0,2
37.9756_23.7346,37.97562508823529,23.73463061764706,1,17.458564705882353,17.0,0,2
37.9756_23.7347,37.975573399999995,23.734676,1,18.66699142857143,17.5,0,2
37.9756_23.7352,37.97559827108037,23.73519300872859,4,22.09740149868248,91.0,0,2
37.9756_23.7355,37.975581052631576,23.735547894736843,3,35.25835,19.0,0,2
37.9756_23.7356,37.97562173225158,23.735598259788613,324,31.185862215842437,13839.5,7349,2
37.9756_23.7357,37.97562128301515,23.735680301127246,1550,13.319695023163241,47963.5,25804,2
37.9756_23.7358,37.975641529740344,23.73576515760752,316,31.154352689746474,2194.5,0,2
37.9757_23.7344,37.97572425,23.734444363636364,1,12.657134090909091,44.0,0,2
37.9757_23.7346,37.97569764516129,23.73459058064516,1,16.787343548387096,31.0,0,2
37.9757_23.7352,37.97570017282609,23.73521577554348,4,22.971712192028985,83.0,0,2
37.9757_23.7354,37.9757086336447,23.73536749041298,2,0.044497451655195024,10473.5,20900,2
37.9757_23.7356,37.975719531405865,23.735604898738302,661,31.040757891101155,18283.0,8463,2
37.9757_23.7357,37.97572032358037,23.735691173076717,3567,12.150091524298858,174896.5,105488,2
37.9757_23.7358,37.97572600585427,23.735778800240308,1970,26.751891344627218,57901.0,22526,2
37.9757_23.7359,37.97574816666667,23.735852500000004,3,33.91283333333333,2.0,0,2
37.9758_23.7343,37.97581855813954,23.734295511627906,1,14.24262558139535,43.0,0,2
37.9758_23.7344,37.97578174050633,23.7344239556962,2,11.080568987341772,40.5,0,2
37.9758_23.7345,37.975807809996795,23.734503038029004,3,19.153316923769356,132.5,0,2
37.9758_23.7346,37.97578407878151,23.734580542016808,2,24.058172163865546,31.0,0,2
37.9758_23.7347,37.975780666666665,23.734699033333335,1,26.777753333333333,15.0,0,2
37.9758_23.7348,37.97577206896552,23.73479868965517,1,27.313186206896553,14.5,0,2
37.9758_23.7349,37.97577014285714,23.734899035714285,1,28.336199999999998,14.0,0,2
37.9758_23.735,37.975771,23.734999892857143,1,28.676607142857144,14.0,0,2
37.9758_23.7351,37.97580338971249,23.735098625,2,16.3316278638814,173.0,51,2
37.9758_23.7352,37.97580518568073,23.735214165648742,6,18.4846493717513,125.0,0,2
37.9758_23.7353,37.97583153774803,23.735321046985213,6,15.780679202203249,134.5,0,2
37.9758_23.7354,37.97579672896874,23.735384402218074,7,6.416495700609719,14450.0,28580,2
37.9758_23.7355,37.97584348780488,23.735499024390244,4,19.0976,20.5,0,2
37.9758_23.7356,37.975805055247285,23.735613069568778,815,28.124200923005464,30729.0,14474,2
37.9758_23.7357,37.97580673791941,23.735703673461465,5251,10.977842309478259,353260.0,208572,2
37.9758_23.7358,37.975817398797034,23.735781500586803,5196,19.888055781780817,184469.0,64504,2
37.9758_23.7359,37.97583451445419,23.735854927141574,615,22.44609754374255,9048.5,2193,2
37.9759_23.7341,37.97593940182648,23.7341416369863,79,31.71033509458578,251.0,0,2
37.9759_23.7342,37.97593618961086,23.73421439093155,645,27.09765144750719,5792.0,123,2
37.9759_23.7343,37.9759083922356,23.734277128313252,3,20.468125435073627,99.0,0,2
37.9759_23.7344,37.975914449045625,23.73440613320575,4,12.95850406938289,313.0,0,2
37.9759_23.7345,37.97591729448926,23.734510877672324,9,14.095865844189877,427.0,41,2
37.9759_23.7346,37.97593407714051,23.73460538939972,12,13.883856746048602,544.0,109,2
37.9759_23.7347,37.97592856680707,23.734699282835876,12,14.6528195328621,520.0,0,2
37.9759_23.7348,37.97592823495388,23.734807591539923,44,16.333927581225474,1086.5,69,2
37.9759_23.7349,37.9759128941509,23.734901669976825,90,16.640918650980588,3304.5,395,2
37.9759_23.735,37.975901859243585,23.734998835992567,117,16.260262826500746,3179.0,460,2
37.9759_23.7351,37.9758895284098,23.735102636197375,163,15.645793202097371,3118.0,255,2
37.9759_23.7352,37.975884203739,23.735194456791362,216,15.273160870639241,4840.0,811,2
37.9759_23.7353,37.97590129702472,23.735292561761554,235,15.039448330514816,7389.0,2468,2
37.9759_23.7354,37.97592279531556,23.73540140900722,239,16.592292910594956,15412.5,19728,2
37.9759_23.7355,37.97593496720919,23.73551299974929,220,17.10493205327587,5580.0,0,2
37.9759_23.7356,37.9759235825502,23.735616930979642,2802,20.604216649549645,61912.0,3546,2
37.9759_23.7357,37.97590823742408,23.735697121970805,5342,8.45460200470427,434377.0,406243,0
37.9759_23.7358,37.97590586727426,23.73578633877432,6204,14.876212863956153,340913.5,170390,0
37.9759_23.7359,37.97591246998839,23.735864369010315,2019,18.43588816302863,81963.5,17397,2
37.9761_23.734,37.97608904958771,23.734041805205692,67,10.514556388184126,590.0,34,2
37.9761_23.7341,37.97612235036308,23.73412285216568,637,8.994350812212305,40076.0,20708,2
37.9761_23.7342,37.97610174214293,23.73421872922815,6869,27.00753088155488,131157.0,7739,2
37.9761_23.7343,37.976101754341286,23.734298962983647,10757,27.777829105746946,264380.0,8953,0
37.9761_23.7344,37.97611045808757,23.734399938375436,4631,20.722816507459875,163881.0,21987,2
37.9761_23.7345,37.976119914186484,23.734518827039636,4735,8.508448986210757,309211.5,249424,2
37.9761_23.7346,37.97611589472234,23.734597559405664,5834,6.358419823423458,735982.5,568725,0
37.9761_23.7347,37.976109419640146,23.73469830062382,6611,8.778413529021904,649964.0,426141,0
37.9761_23.7348,37.97609910433929,23.734798713102908,6909,11.983834136952057,541376.5,310378,0
37.9761_23.7349,37.97608692876982,23.73489637378675,6996,17.085409040103816,398863.5,173678,0
37.9761_23.735,37.976080374116165,23.73499737682811,6160,20.069881731557274,255660.0,82828,2
37.9761_23.7351,37.976071373443126,23.735097385981454,4765,20.860925746952855,181766.5,55005,2
37.9761_23.7352,37.976069154035024,23.73519366062367,3536,20.688206349719444,146139.0,54877,2
37.9761_23.7353,37.97607101401703,23.73529294139193,1949,21.691349365603386,85401.0,25523,2
37.9761_23.7354,37.9760673958745,23.73539657880072,1227,21.071598014768366,43757.5,12911,2
37.9761_23.7355,37.97606777772863,23.73550493121645,1395,22.201749606698282,37760.5,8452,2
37.9761_23.7356,37.97607397321366,23.735609969968085,3108,20.944254119668017,84419.0,13845,2
37.9761_23.7357,37.97608861863791,23.735711064800324,7625,23.04660454434423,207943.0,6046,0
37.9761_23.7358,37.9761058251922,23.7357927318255,15960,27.25678020268627,440138.5,6653,0
37.9761_23.7359,37.976120809315844,23.73591155149396,6167,9.537970734082998,277004.0,220071,2
37.9761_23.736,37.976130958082166,23.73598883027121,4259,5.821543975011323,509434.5,387916,0
37.9761_23.7361,37.97613412303873,23.73609525456064,3832,8.278263247384947,326955.0,190244,2
37.9761_23.7362,37.97613148437477,23.736195970802218,3760,9.318309844160739,302435.0,174459,2
37.9761_23.7363,37.976123859186345,23.736289588915263,3461,11.61285576348063,202233.5,107057,2
37.9761_23.7364,37.97612328027829,23.736385103135092,2832,13.198047361498869,126985.5,66483,2
37.9761_23.7365,37.976124309739774,23.736474266584153,1592,16.552597031233212,45845.0,20328,2
37.9761_23.7366,37.97613683737605,23.736571951192445,636,34.545134691039976,5174.0,0,2
37.9761_23.7367,37.97613614916286,23.736672336377474,77,27.72335327245053,586.5,0,2
37.9762_23.7339,37.97624425,23.73394675,3,29.82985,3.5,0,2
37.9762_23.734,37.97623207690073,23.73403511985112,39,19.265108299894067,582.0,0,2
37.9762_23.7341,37.97619300318448,23.73412216872658,565,10.779230178603331,48666.5,33988,2
37.9762_23.7342,37.97619513392762,23.734215636872797,3992,16.41912536151105,112292.0,26821,2
37.9762_23.7343,37.976200505645444,23.734303594437147,11241,25.757519591942327,292630.5,19362,0
37.9762_23.7344,37.97619724349326,23.73438856619397,7368,25.578723029765897,166194.0,6045,0
37.9762_23.7345,37.97617070517823,23.734517879422,3127,8.859044843792578,184476.5,169159,2
37.9762_23.7346,37.976166742840924,23.734592946269412,2500,5.162306352302398,310669.5,329983,2
37.9762_23.7347,37.97616220192562,23.734685846763867,1172,8.002337982340132,76684.0,65277,2
37.9762_23.7348,37.97616388872161,23.734795510068928,377,12.15568780332046,17078.5,11155,2
37.9762_23.7349,37.97616452874205,23.734887115135827,105,18.593541573368128,3107.0,1643,2
37.9762_23.735,37.97617242446164,23.734982689325253,24,13.375761833413357,1838.0,1196,2
37.9762_23.7351,37.976173487863726,23.735109635959372,10,10.65335112065152,572.5,158,2
37.9762_23.7352,37.97616789120191,23.735173919978397,6,10.787747716490184,176.5,0,2
37.9762_23.7353,37.97619874127477,23.7352980085034,3,12.703194483880509,119.5,0,2
37.9762_23.7354,37.97617737412383,23.73539439661215,2,9.642099328271026,69.5,0,2
37.9762_23.7355,37.976157058823524,23.735457588235292,1,9.827447058823529,8.5,0,2
37.9762_23.7356,37.976177348707566,23.73564432992646,11,14.33699882756095,14382.5,13890,2
37.9762_23.7357,37.976193195749836,23.735703143424693,705,22.736209668329696,19149.0,564,2
37.9762_23.7358,37.976197768041374,23.735796133590636,12233,29.92951988833753,346917.0,6911,0
37.9762_23.7359,37.97618106900029,23.735915866377397,3624,9.348033613220608,208823.5,174763,2
37.9762_23.736,37.97619274379042,23.735993991685913,5715,3.238151887560134,870834.0,862163,0
37.9762_23.7361,37.97620669902296,23.736094622199627,7052,6.936160111296138,738439.0,476333,0
37.9762_23.7362,37.976208831986376,23.736193381464233,7259,9.440987179971529,578141.5,299926,0
37.9762_23.7363,37.97620246078525,23.736295669502116,6672,12.219841544633104,431394.5,177785,0
37.9762_23.7364,37.976203358237775,23.736388208244772,5558,16.35171440917515,238769.0,74073,2
37.9762_23.7365,37.976197872793676,23.73648493986075,3373,18.703277836639153,104551.5,24068,2
37.9762_23.7366,37.97619107771406,23.736575006376217,1384,18.289478671307023,27030.5,3680,2
37.9762_23.7367,37.97617508895626,23.73666152423898,219,23.936959753273545,1474.5,252,2
37.9763_23.7339,37.976302636363634,23.733925545454543,1,37.810154545454544,5.5,0,2
37.9763_23.734,37.97628386363636,23.734027569444446,8,28.256088510101012,28.0,0,2
37.9763_23.7341,37.976272622146205,23.734102395678725,21,27.230159930942072,194.5,0,2
37.9763_23.7342,37.97626520943357,23.734231746442926,213,17.611737109544062,16471.0,8187,2
37.9763_23.7343,37.97630339810551,23.73432509580185,4884,14.224205747020969,222984.0,79448,2
37.9763_23.7344,37.976318892618316,23.73439140098345,7488,14.451203938631666,419405.0,204550,0
37.9763_23.7345,37.97633499951704,23.734459179910694,64,8.495583678286398,87517.5,53944,2
37.9763_23.7349,37.97625996955128,23.73493491426282,2,13.454426362179486,47.0,0,2
37.9763_23.735,37.97627534829721,23.734962730134157,2,12.942702631578948,65.5,0,2
37.9763_23.7356,37.976256796380085,23.735642742081446,2,0.9003060762766645,3867.5,1437,2
37.9763_23.7357,37.97630886652608,23.735695799600173,387,4.968142226243029,173592.5,64592,2
37.9763_23.7358,37.97630063921664,23.735801482502115,10866,29.33378222571382,328916.0,13778,0
37.9763_23.7359,37.97631622397927,23.735909567892246,7329,10.590740158351892,389078.0,149208,0
37.9763_23.736,37.976280041073345,23.7359958671112,6200,10.523126498674879,509398.0,173161,0
37.9763_23.7361,37.97626352187788,23.736092128191505,3825,9.161251285225154,230432.0,86513,2
37.9763_23.7362,37.97625616088079,23.73617491129818,1657,10.858627049597029,61466.0,22674,2
37.9763_23.7363,37.97625501849474,23.736281267731183,126,10.285369417094868,5360.5,5162,2
37.9763_23.7364,37.97626899313038,23.7364132022736,7,7.180866780650419,2907.0,3327,2
37.9763_23.7365,37.976338212499996,23.736456498611112,3,6.986628194444444,85.0,19,2
37.9764_23.7342,37.97638043485714,23.734242021714287,87,18.98769137142857,1211.5,30,2
37.9764_23.7343,37.976374627773204,23.734340347246846,1672,8.168984061852091,72152.5,51784,2
37.9764_23.7344,37.976396848571746,23.7343979460846,8784,8.462426616638732,1084328.0,667883,0
37.9764_23.7345,37.97641717402588,23.73445956232144,1782,10.865681544034032,94154.0,68987,2
37.9764_23.7356,37.976370269841276,23.735643555555555,1,10.118571428571428,157.5,14,2
37.9764_23.7357,37.97640044013496,23.7357115937583,344,16.775955862710607,29561.0,5600,2
37.9764_23.7358,37.97640123924416,23.735807967231565,11908,28.8178933199833,332644.0,7358,0
37.9764_23.7359,37.97639667437524,23.735888814251922,8007,15.700759493325528,456156.0,47099,0
37.9764_23.736,37.97638471412585,23.73596868758268,68,10.511155361614142,12540.0,19948,2
37.9764_23.7361,37.97643653703704,23.736056225925925,2,4.387402222222223,42.0,42,2
37.9764_23.7364,37.976355,23.736449444444446,1,9.406255555555555,9.0,0,2
37.9764_23.7365,37.97637396911754,23.73647069521712,3,3.7688907429550387,2405.0,2242,2
37.9765_23.7342,37.976521588516746,23.73424779904306,21,17.32974976076555,104.5,0,2
37.9765_23.7343,37.97649308187138,23.734337892271853,460,7.699845029601117,29146.5,9869,2
37.9765_23.7344,37.976496955002915,23.734407643397077,7037,10.31727340709224,623986.0,284349,0
37.9765_23.7345,37.9765010496371,23.734469638410847,2873,9.687451445829607,290134.0,171985,2
37.9765_23.7357,37.97649700802797,23.7357278096091,304,21.004703364037525,23256.0,3635,2
37.9765_23.7358,37.976500102058786,23.735812636564493,11509,28.316078920225216,336484.5,9948,0
37.9765_23.7359,37.97649813231287,23.735880086147798,7017,18.152292860457216,368957.0,34617,0
